date,diesel,hvo
2022-01-01,0.52,1.164
2022-01-02,0.52,1.164
2022-01-03,0.52,1.164
2022-01-04,0.52,1.164
2022-01-05,0.52,1.164
2022-01-06,0.6,1.244
2022-01-07,0.68,1.324
2022-01-08,0.76,1.404
2022-01-09,0.76,1.404
2022-01-10,0.76,1.404
2022-01-11,0.76,1.404
2022-01-12,0.76,1.404
2022-01-13,0.76,1.404
2022-01-14,0.84,1.484
2022-01-15,0.84,1.484
2022-01-16,0.84,1.484
2022-01-17,0.84,1.484
2022-01-18,0.84,1.484
2022-01-19,1.0,1.644
2022-01-20,1.0,1.644
2022-01-21,1.08,1.724
2022-01-22,1.08,1.724
2022-01-23,1.08,1.724
2022-01-24,1.08,1.724
2022-01-25,1.08,1.724
2022-01-26,1.0,1.644
2022-01-27,1.0,1.644
2022-01-28,1.08,1.964
2022-01-29,1.16,2.044
2022-01-30,1.16,2.044
2022-01-31,1.16,2.044
2022-02-01,1.24,2.124
2022-02-02,1.24,2.124
2022-02-03,1.24,2.124
2022-02-04,1.16,2.044
2022-02-05,1.24,2.124
2022-02-06,1.24,2.124
2022-02-07,1.24,2.124
2022-02-08,1.36,2.244
2022-02-09,1.36,2.244
2022-02-10,1.28,2.164
2022-02-11,1.28,2.164
2022-02-12,1.36,2.244
2022-02-13,1.36,2.244
2022-02-14,1.36,2.244
2022-02-15,1.36,2.244
2022-02-16,1.44,2.324
2022-02-17,1.36,2.244
2022-02-18,1.44,2.324
2022-02-19,1.36,2.244
2022-02-20,1.36,2.244
2022-02-21,1.36,2.244
2022-02-22,1.36,2.244
2022-02-23,1.36,2.244
2022-02-24,1.44,2.324
2022-02-25,1.52,2.404
2022-02-26,1.76,2.644
2022-02-27,1.76,2.644
2022-02-28,1.76,2.644
2022-03-01,1.68,2.564
2022-03-02,1.76,2.644
2022-03-03,2.24,3.124
2022-03-04,2.72,3.604
2022-03-05,2.96,3.844
2022-03-06,2.96,3.844
2022-03-07,2.96,3.844
2022-03-08,3.28,4.164
2022-03-09,4.08,4.964
2022-03-10,4.88,5.764
2022-03-11,4.08,4.964
2022-03-12,2.88,3.764
2022-03-13,2.88,3.764
2022-03-14,2.88,3.764
2022-03-15,3.04,3.924
2022-03-16,2.8,3.68
2022-03-17,2.56,3.2
2022-03-18,2.56,3.2
2022-03-19,3.2,3.48
2022-03-20,3.2,3.48
2022-03-21,3.2,3.48
2022-03-22,3.28,3.56
2022-03-23,3.84,4.12
2022-03-24,3.84,4.12
2022-03-25,4.24,4.52
2022-03-26,4.24,4.52
2022-03-27,4.24,4.52
2022-03-28,4.24,4.52
2022-03-29,4.08,4.36
2022-03-30,3.68,3.96
2022-03-31,3.2,3.56
2022-04-01,3.2,3.56
2022-04-02,2.96,3.4
2022-04-03,2.96,3.4
2022-04-04,2.96,3.4
2022-04-05,3.04,3.48
2022-04-06,3.28,3.72
2022-04-07,2.96,3.4
2022-04-08,2.88,3.32
2022-04-09,2.64,3.08
2022-04-10,2.64,3.08
2022-04-11,2.64,3.08
2022-04-12,2.72,3.16
2022-04-13,2.64,3.08
2022-04-14,2.96,3.4
2022-04-15,2.96,3.4
2022-04-16,2.96,3.4
2022-04-17,2.96,3.4
2022-04-18,2.96,3.4
2022-04-19,2.96,3.4
2022-04-20,3.52,3.96
2022-04-21,3.44,3.88
2022-04-22,3.44,3.88
2022-04-23,3.44,3.88
2022-04-24,3.44,3.88
2022-04-25,3.44,3.88
2022-04-26,3.44,3.88
2022-04-27,3.2,3.64
2022-04-28,3.44,3.88
2022-04-29,3.68,4.12
2022-04-30,3.92,4.36
2022-05-01,3.92,4.36
2022-05-02,3.92,4.36
2022-05-03,4.0,4.52
2022-05-04,4.0,4.52
2022-05-05,3.84,4.36
2022-05-06,3.84,4.36
2022-05-07,3.84,4.36
2022-05-08,3.84,4.36
2022-05-09,3.84,4.36
2022-05-10,3.68,4.2
2022-05-11,3.36,3.88
2022-05-12,3.36,3.88
2022-05-13,3.44,3.96
2022-05-14,3.44,3.96
2022-05-15,3.44,3.96
2022-05-16,3.44,3.96
2022-05-17,3.6,4.12
2022-05-18,3.6,4.12
2022-05-19,3.44,3.96
2022-05-20,3.28,3.8
2022-05-21,3.12,3.64
2022-05-22,3.12,3.64
2022-05-23,3.12,3.64
2022-05-24,3.12,3.64
2022-05-25,3.12,3.64
2022-05-26,3.2,3.72
2022-05-27,3.2,3.72
2022-05-28,3.68,4.2
2022-05-29,3.68,4.2
2022-05-30,3.68,4.2
2022-05-31,3.68,4.2
2022-06-01,3.76,4.28
2022-06-02,4.08,4.6
2022-06-03,4.48,5.0
2022-06-04,4.48,5.0
2022-06-05,4.48,5.0
2022-06-06,4.48,5.0
2022-06-07,4.48,5.0
2022-06-08,4.88,5.4
2022-06-09,4.88,5.4
2022-06-10,4.88,5.4
2022-06-11,5.04,5.56
2022-06-12,5.04,5.56
2022-06-13,5.04,5.56
2022-06-14,5.04,5.56
2022-06-15,5.12,5.64
2022-06-16,5.28,5.8
2022-06-17,5.52,6.04
2022-06-18,5.36,5.88
2022-06-19,5.36,5.88
2022-06-20,5.36,5.88
2022-06-21,5.28,5.8
2022-06-22,5.28,5.8
2022-06-23,5.2,5.72
2022-06-24,5.12,5.64
2022-06-25,5.12,5.64
2022-06-26,5.12,5.64
2022-06-27,5.12,5.64
2022-06-28,5.12,5.64
2022-06-29,4.96,5.48
2022-06-30,4.72,5.24
