date,diesel,hvo
2020-01-01,11.43,12520.0
2020-01-02,11.79,12790.0
2020-01-03,11.79,12890.0
2020-01-04,11.99,12990.0
2020-01-05,11.99,12990.0
2020-01-06,11.99,12990.0
2020-01-07,11.99,12990.0
2020-01-08,11.99,12890.0
2020-01-09,11.99,12890.0
2020-01-10,11.89,12790.0
2020-01-11,11.79,12790.0
2020-01-12,11.79,12790.0
2020-01-13,11.79,12790.0
2020-01-14,11.79,12790.0
2020-01-15,11.69,12690.0
2020-01-16,11.69,12690.0
2020-01-17,11.69,12690.0
2020-01-18,11.49,12690.0
2020-01-19,11.49,12690.0
2020-01-20,11.49,12690.0
2020-01-21,11.49,12790.0
2020-01-22,11.49,12790.0
2020-01-23,11.49,12790.0
2020-01-24,11.39,12690.0
2020-01-25,11.39,12590.0
2020-01-26,11.39,12590.0
2020-01-27,11.39,12590.0
2020-01-28,11.19,12490.0
2020-01-29,11.19,12490.0
2020-01-30,11.19,12390.0
2020-01-31,11.19,12390.0
2020-02-01,11.09,12390.0
2020-02-02,11.09,12390.0
2020-02-03,11.09,12390.0
2020-02-04,11.09,12390.0
2020-02-05,10.89,12190.0
2020-02-06,10.89,12190.0
2020-02-07,10.99,12290.0
2020-02-08,10.99,12190.0
2020-02-09,10.99,12190.0
2020-02-10,10.99,12190.0
2020-02-11,10.99,12290.0
2020-02-12,10.99,12290.0
2020-02-13,10.99,12190.0
2020-02-14,10.99,12190.0
2020-02-15,11.09,12290.0
2020-02-16,11.09,12290.0
2020-02-17,11.09,12290.0
2020-02-18,11.09,12290.0
2020-02-19,11.09,12390.0
2020-02-20,10.99,12390.0
2020-02-21,11.09,12490.0
2020-02-22,11.09,12490.0
2020-02-23,11.09,12490.0
2020-02-24,11.09,12490.0
2020-02-25,11.09,12390.0
2020-02-26,11.09,12390.0
2020-02-27,10.99,12290.0
2020-02-28,10.89,12190.0
2020-02-29,10.79,12090.0
2020-03-01,10.79,12090.0
2020-03-02,10.79,12090.0
2020-03-03,10.69,11890.0
2020-03-04,10.69,11890.0
2020-03-05,10.79,11890.0
2020-03-06,10.79,11990.0
2020-03-07,10.79,11890.0
2020-03-08,10.79,11890.0
2020-03-09,10.79,11890.0
2020-03-10,10.49,11590.0
2020-03-11,10.29,11390.0
2020-03-12,10.19,11290.0
2020-03-13,10.19,11190.0
2020-03-14,10.09,10990.0
2020-03-15,10.09,10990.0
2020-03-16,10.09,10990.0
2020-03-17,9.99,10790.0
2020-03-18,9.89,10590.0
2020-03-19,9.99,10690.0
2020-03-20,9.89,10590.0
2020-03-21,9.89,10490.0
2020-03-22,9.89,10490.0
2020-03-23,9.89,10490.0
2020-03-24,9.99,10590.0
2020-03-25,9.89,10390.0
2020-03-26,9.89,10290.0
2020-03-27,9.89,10190.0
2020-03-28,9.89,10390.0
2020-03-29,9.89,10390.0
2020-03-30,9.89,10390.0
2020-03-31,9.89,10290.0
2020-04-01,9.79,10390.0
2020-04-02,9.59,10190.0
2020-04-03,9.59,10190.0
2020-04-04,9.49,10090.0
2020-04-05,9.49,10090.0
2020-04-06,9.49,10090.0
2020-04-07,9.59,10190.0
2020-04-08,9.59,10090.0
2020-04-09,9.59,10190.0
2020-04-10,9.59,10190.0
2020-04-11,9.59,10190.0
2020-04-12,9.59,10190.0
2020-04-13,9.59,10190.0
2020-04-14,9.59,10190.0
2020-04-15,9.49,10090.0
2020-04-16,9.39,10090.0
2020-04-17,9.29,10090.0
2020-04-18,9.29,10090.0
2020-04-19,9.29,10090.0
2020-04-20,9.29,10090.0
2020-04-21,9.39,10190.0
2020-04-22,9.19,10090.0
2020-04-23,8.89,9890.0
2020-04-24,8.79,9890.0
2020-04-25,8.79,9990.0
2020-04-26,8.79,9990.0
2020-04-27,8.79,9990.0
2020-04-28,8.69,9890.0
2020-04-29,8.69,9890.0
2020-04-30,8.69,9790.0
2020-05-01,8.79,10090.0
2020-05-02,8.99,10190.0
2020-05-03,8.99,10190.0
2020-05-04,8.99,10190.0
2020-05-05,8.89,10090.0
2020-05-06,8.89,10090.0
2020-05-07,8.89,10190.0
2020-05-08,8.89,10390.0
2020-05-09,8.89,10390.0
2020-05-10,8.89,10390.0
2020-05-11,8.89,10390.0
2020-05-12,8.89,10490.0
2020-05-13,8.89,10490.0
2020-05-14,8.89,10490.0
2020-05-15,8.89,10390.0
2020-05-16,8.99,10490.0
2020-05-17,8.99,10490.0
2020-05-18,8.99,10490.0
2020-05-19,9.09,10590.0
2020-05-20,9.29,10790.0
2020-05-21,9.19,10790.0
2020-05-22,9.19,10790.0
2020-05-23,9.19,10690.0
2020-05-24,9.19,10690.0
2020-05-25,9.19,10690.0
2020-05-26,9.09,10690.0
2020-05-27,9.19,10690.0
2020-05-28,9.19,10790.0
2020-05-29,9.19,10690.0
2020-05-30,9.09,10690.0
2020-05-31,9.09,10690.0
2020-06-01,9.09,10690.0
2020-06-02,9.09,10690.0
2020-06-03,9.19,10690.0
2020-06-04,9.39,10790.0
2020-06-05,9.39,10890.0
2020-06-06,9.39,10890.0
2020-06-07,9.39,10890.0
2020-06-08,9.39,10890.0
2020-06-09,9.49,11090.0
2020-06-10,9.49,11090.0
2020-06-11,9.49,10990.0
2020-06-12,9.49,10990.0
2020-06-13,9.39,10990.0
2020-06-14,9.39,10990.0
2020-06-15,9.39,10990.0
2020-06-16,9.39,10990.0
2020-06-17,9.49,11090.0
2020-06-18,9.59,11190.0
2020-06-19,9.59,11190.0
2020-06-20,9.59,11390.0
2020-06-21,9.59,11390.0
2020-06-22,9.59,11390.0
2020-06-23,9.69,11390.0
2020-06-24,9.69,11390.0
2020-06-25,9.69,11390.0
2020-06-26,9.59,11190.0
2020-06-27,9.59,11190.0
2020-06-28,9.59,11190.0
2020-06-29,9.59,11190.0
2020-06-30,9.59,11190.0
2020-07-01,9.59,11190.0
2020-07-02,9.69,11190.0
2020-07-03,9.69,11390.0
2020-07-04,9.69,11390.0
2020-07-05,9.69,11390.0
2020-07-06,9.69,11390.0
2020-07-07,9.69,11390.0
2020-07-08,9.79,11390.0
2020-07-09,9.79,11390.0
2020-07-10,9.79,11490.0
2020-07-11,9.79,11490.0
2020-07-12,9.79,11490.0
2020-07-13,9.79,11490.0
2020-07-14,9.79,11490.0
2020-07-15,9.79,11390.0
2020-07-16,9.69,11390.0
2020-07-17,9.69,11390.0
2020-07-18,9.69,11290.0
2020-07-19,9.69,11290.0
2020-07-20,9.69,11290.0
2020-07-21,9.69,11190.0
2020-07-22,9.69,11190.0
2020-07-23,9.89,11390.0
2020-07-24,9.89,11390.0
2020-07-25,9.79,11390.0
2020-07-26,9.79,11390.0
2020-07-27,9.79,11390.0
2020-07-28,9.79,11390.0
2020-07-29,9.69,11190.0
2020-07-30,9.69,11190.0
2020-07-31,9.79,11190.0
2020-08-01,9.69,11190.0
2020-08-02,9.69,11190.0
2020-08-03,9.69,11190.0
2020-08-04,9.69,11190.0
2020-08-05,9.69,11190.0
2020-08-06,9.69,11190.0
2020-08-07,9.79,11390.0
2020-08-08,9.79,11390.0
2020-08-09,9.79,11390.0
2020-08-10,9.79,11390.0
2020-08-11,9.69,11390.0
2020-08-12,9.69,11390.0
2020-08-13,9.69,11390.0
2020-08-14,9.69,11390.0
2020-08-15,9.69,11390.0
2020-08-16,9.69,11390.0
2020-08-17,9.69,11390.0
2020-08-18,9.69,11390.0
2020-08-19,9.69,11490.0
2020-08-20,9.69,11490.0
2020-08-21,9.69,11490.0
2020-08-22,9.69,11490.0
2020-08-23,9.69,11490.0
2020-08-24,9.69,11490.0
2020-08-25,9.59,11390.0
2020-08-26,9.69,11490.0
2020-08-27,9.69,11490.0
2020-08-28,9.69,11490.0
2020-08-29,9.69,11490.0
2020-08-30,9.69,11490.0
2020-08-31,9.69,11490.0
2020-09-01,9.59,11490.0
2020-09-02,9.59,11490.0
2020-09-03,9.59,11490.0
2020-09-04,9.59,11490.0
2020-09-05,9.49,11390.0
2020-09-06,9.49,11390.0
2020-09-07,9.49,11390.0
2020-09-08,9.49,11390.0
2020-09-09,9.39,11390.0
2020-09-10,9.39,11390.0
2020-09-11,9.39,11390.0
2020-09-12,9.29,11390.0
2020-09-13,9.29,11390.0
2020-09-14,9.29,11390.0
2020-09-15,9.29,11390.0
2020-09-16,9.29,11390.0
2020-09-17,9.29,11390.0
2020-09-18,9.29,11490.0
2020-09-19,9.49,11590.0
2020-09-20,9.49,11590.0
2020-09-21,9.49,11590.0
2020-09-22,9.49,11590.0
2020-09-23,9.29,11390.0
2020-09-24,9.29,11390.0
2020-09-25,9.29,11390.0
2020-09-26,9.29,11390.0
2020-09-27,9.29,11390.0
2020-09-28,9.29,11390.0
2020-09-29,9.39,11490.0
2020-09-30,9.39,11490.0
2020-10-01,9.39,11490.0
2020-10-02,9.39,11490.0
2020-10-03,9.39,11390.0
2020-10-04,9.39,11390.0
2020-10-05,9.39,11390.0
2020-10-06,9.29,11390.0
2020-10-07,9.39,11490.0
2020-10-08,9.49,11490.0
2020-10-09,9.49,11490.0
2020-10-10,9.49,11490.0
2020-10-11,9.49,11490.0
2020-10-12,9.49,11490.0
2020-10-13,9.59,11490.0
2020-10-14,9.49,11390.0
2020-10-15,9.49,11390.0
2020-10-16,9.49,11390.0
2020-10-17,9.49,11290.0
2020-10-18,9.49,11290.0
2020-10-19,9.49,11290.0
2020-10-20,9.49,11290.0
2020-10-21,9.49,11290.0
2020-10-22,9.49,11190.0
2020-10-23,9.39,11190.0
