month,diesel_avg,hvo_avg
2026-06,13.63,21.45
2026-05,14.25,22.18
2026-04,14.71,22.76
2026-03,14.11,22.05
2026-02,11.42,19.04
2026-01,11.25,18.92
2025-12,11.2,18.93
2025-11,11.69,18.67
2025-10,11.34,16.14
2025-09,11.35,12.96
2025-08,11.24,12.45
2025-07,11.48,12.69
2025-06,11.34,12.55
2025-05,10.99,12.2
2025-04,11.26,12.47
2025-03,11.6,12.77
2025-02,11.97,13.37
2025-01,12.04,13.87
2024-12,10.96,15.8
2024-11,10.84,15.64
2024-10,10.68,15.89
2024-09,10.41,15.63
2024-08,10.8,16.07
2024-07,11.27,16.56
2024-06,11.17,16.46
2024-05,11.07,16.49
2024-04,11.23,16.75
2024-03,11.18,16.73
2024-02,11.51,18.48
2024-01,11.26,18.88
2023-12,10.84,18.86
2023-11,11.15,19.41
2023-10,11.76,20.17
2023-09,11.91,20.2
2023-08,11.53,19.53
2023-07,10.72,18.59
2023-06,10.39,18.51
2023-05,10.2,18.9
2023-04,10.733,20.17
2023-03,11.16,20.89
2023-02,11.41,20.94
2023-01,12.06,21.73
2022-12,11.64,21.6
2022-11,12.76,23.25
2022-10,13.66,24.42
2022-09,12.72,23.42
2022-08,12.95,22.98
2022-07,13.44,23.27
2022-06,14.17,23.7
2022-05,12.82,22.29
2022-04,12.39,21.5
2022-03,12.55,21.34
2022-02,10.66,19.33
2022-01,10.25,18.51
2021-12,9.88,16.24
2021-11,10.25,16.5
2021-10,10.13,16.31
2021-09,9.39,15.41
2021-08,9.12,15.13
2021-07,9.13,15.04
2021-06,8.99,14.8
2021-05,8.77,14.55
2021-04,8.58,14.26
2021-03,8.68,14.05
2021-02,8.5,13.64
2021-01,8.15,13.32
2020-12,7.95,47.48
2020-11,7.68,813.33
2020-10,7.56,52.65
2020-09,7.52,152.0
2020-08,7.76,112.0
2020-07,7.79,9081.03
2020-06,7.58,8861.33
2020-05,7.22,8392.0
2020-04,7.44,8069.33
2020-03,8.18,8851.35
2020-02,8.82,9848.55
2020-01,9.3,10183.74
2019-12,9.05,10061.68
2019-11,8.88,411.2
2019-10,8.93,459.97
2019-09,8.95,480.53
2019-08,8.76,287.07
2019-07,8.81,343.85
2019-06,8.71,243.2
2019-05,9.03,557.87
2019-04,10.83,9.43
2019-03,10.32,9.4
2019-02,9.98,9.23
2019-01,9.78,8.99
2018-12,9.76,9.04
2018-11,10.13,9.55
2018-10,10.6,9.77
2018-09,10.71,9.47
2018-08,10.73,9.32
2018-07,10.66,9.31
2018-06,10.58,9.3
2018-05,10.61,9.33
2018-04,10.15,8.88
2018-03,9.85,8.61
2018-02,9.86,8.58
2018-01,10.0,8.75
2017-12,9.93,8.66
2017-11,9.85,8.5
2017-10,9.77,8.55
2017-09,9.98,8.41
2017-08,9.66,8.16
2017-07,9.63,8.13
2017-06,9.66,8.11
2017-05,9.75,8.24
2017-04,9.98,8.52
2017-03,9.77,8.42
2017-02,9.91,8.54
2017-01,9.84,8.5
2016-12,9.63,8.43
2016-11,9.26,8.02
2016-10,9.46,8.17
2016-09,9.24,7.85
2016-08,9.17,7.75
2016-07,9.22,7.8
2016-06,9.5,7.99
2016-05,7.44,460.15
2016-04,7.17,191.2
2016-03,7.17,181.7
2016-02,6.9,913.08
2016-01,6.95,17.83
2015-12,7.24,309.16
2015-11,7.68,754.93
2015-10,7.69,767.48
2015-09,7.74,815.47
2015-08,7.76,787.35
2015-07,8.15,108.65
2015-06,8.3,284.53
2015-05,8.41,388.62
2015-04,8.25,236.53
2015-03,8.25,229.91
2015-02,8.11,98.06
2015-01,7.69,677.14
2026-07,12.79,19.72
