date,diesel,hvo
2026-06-02,14.83,23.79
2026-06-04,15.31,24.03
2026-06-05,15.51,24.35
2026-06-06,15.51,24.35
2026-06-07,15.51,24.35
2026-06-08,15.51,24.35
2026-06-09,15.51,24.35
2026-06-10,15.51,24.35
2026-06-11,15.31,24.1
2026-06-12,15.31,24.1
2026-06-13,15.31,24.1
2026-06-14,15.31,24.1
2026-06-15,14.81,23.7
2026-06-16,14.81,23.7
2026-06-17,14.49,23.38
2026-06-18,14.39,23.28
2026-06-19,14.39,23.28
2026-06-20,14.39,23.28
2026-06-21,14.39,23.28
2026-06-22,14.39,23.28
2026-06-23,14.27,23.28
2026-06-24,14.27,23.28
2026-06-25,14.15,23.28
2026-06-26,14.15,23.28
2026-06-27,14.15,23.28
2026-06-28,14.15,23.28
2026-06-29,14.15,23.28
2026-06-30,14.25,23.28
2026-07-01,14.49,22.64
2026-07-02,14.69,23.38
2026-07-03,14.69,23.38
2026-07-04,14.69,23.38
2026-07-05,14.69,23.38
2026-07-06,14.69,23.38
2026-07-07,14.69,23.38
2026-07-08,14.89,23.88
2026-07-09,15.14,24.23
2026-07-10,15.94,25.03
2026-07-11,15.94,25.03
2026-07-12,15.94,25.03
2026-07-13,15.7,24.79
2026-07-14,15.86,24.95
2026-07-15,16.5,25.75
2026-07-16,16.5,25.75
2026-07-17,16.5,25.75
2026-07-18,16.5,25.75
2026-07-19,16.5,25.75
2026-07-20,17.02,26.15
2026-07-21,17.02,26.15
2026-07-22,17.02,26.15
2026-07-23,17.27,26.35
2026-07-24,17.27,26.35
2026-07-25,17.27,26.35
2026-07-26,17.27,26.35
2026-07-27,17.67,26.67
2026-07-28,17.35,26.41
2026-07-29,17.35,26.41
2026-07-30,17.67,26.81
2026-07-31,17.79,26.93
2026-08-01,17.79,26.93
2026-08-02,17.79,26.93
2026-08-03,17.91,26.93
2026-08-04,17.29,26.53
2026-08-05,16.97,26.21
2026-08-06,16.97,26.21
2026-08-07,16.89,26.21
2026-08-08,16.89,26.13
2026-08-09,16.89,26.13
2026-08-10,16.89,26.13
2026-08-11,16.89,26.13
2026-08-12,17.29,26.53
2026-08-13,17.41,26.65
2026-08-14,17.41,26.65
2026-08-15,17.41,26.65
2026-08-16,17.41,26.65
2026-08-17,17.41,26.65
2026-08-18,17.29,26.49
2026-08-19,17.49,26.69
2026-08-20,17.65,26.89
2026-08-21,17.85,27.09
2026-08-22,17.77,27.1
2026-08-23,17.77,27.1
2026-08-24,17.77,27.1
2026-08-25,17.77,27.1
2026-08-26,17.77,27.1
2026-08-27,17.51,26.83
2026-08-28,17.51,26.83
2026-08-29,17.51,26.83
2026-08-30,17.51,26.83
