date,diesel,hvo
2020-01-01,16.73,17.17
2020-01-02,16.98,17.52
2020-01-03,16.98,17.52
2020-01-04,16.98,17.52
2020-01-05,16.98,17.52
2020-01-06,16.98,17.52
2020-01-07,17.08,17.62
2020-01-08,17.08,17.62
2020-01-09,16.98,17.52
2020-01-10,16.98,17.52
2020-01-11,16.98,17.52
2020-01-12,16.98,17.52
2020-01-13,16.98,17.52
2020-01-14,16.83,17.37
2020-01-15,16.83,17.37
2020-01-16,16.83,17.37
2020-01-17,16.73,17.27
2020-01-18,16.73,17.27
2020-01-19,16.73,17.27
2020-01-20,16.73,17.27
2020-01-21,16.73,17.27
2020-01-22,16.73,17.27
2020-01-23,16.58,17.12
2020-01-24,16.48,17.02
2020-01-25,16.48,17.02
2020-01-26,16.48,17.02
2020-01-27,16.48,17.02
2020-01-28,16.28,16.82
2020-01-29,16.28,16.82
2020-01-30,16.28,16.82
2020-01-31,16.18,16.72
2020-02-01,16.18,16.72
2020-02-02,16.18,16.72
2020-02-03,16.08,16.62
2020-02-04,15.93,16.47
2020-02-05,15.93,16.47
2020-02-06,16.08,16.62
2020-02-07,16.08,16.62
2020-02-08,16.08,16.62
2020-02-09,16.08,16.62
2020-02-10,16.18,16.72
2020-02-11,16.18,16.72
2020-02-12,16.08,16.62
2020-02-13,16.08,16.62
2020-02-14,16.18,16.72
2020-02-15,16.18,16.72
2020-02-16,16.18,16.72
2020-02-17,16.18,16.72
2020-02-18,16.18,16.72
2020-02-19,16.18,16.72
2020-02-20,16.38,16.92
2020-02-21,16.38,16.92
2020-02-22,16.38,16.92
2020-02-23,16.38,16.92
2020-02-24,16.28,16.82
2020-02-25,16.13,16.67
2020-02-26,16.03,16.57
2020-02-27,15.93,16.47
2020-02-28,15.68,16.22
2020-02-29,15.68,16.22
2020-03-01,15.68,16.22
2020-03-02,15.58,16.12
2020-03-03,15.58,16.12
2020-03-04,15.58,16.12
2020-03-05,15.58,16.12
2020-03-06,15.58,16.12
2020-03-07,15.58,16.12
2020-03-08,15.58,16.12
2020-03-09,15.23,15.77
2020-03-10,14.93,15.47
2020-03-11,14.93,15.47
2020-03-12,14.93,15.47
2020-03-13,14.78,15.37
2020-03-14,14.78,15.37
2020-03-15,14.78,15.37
2020-03-16,14.78,15.37
2020-03-17,14.48,15.37
2020-03-18,14.48,15.37
2020-03-19,14.28,14.87
2020-03-20,14.43,15.22
2020-03-21,14.43,15.22
2020-03-22,14.43,15.22
2020-03-23,14.53,15.32
2020-03-24,14.53,15.32
2020-03-25,14.53,15.32
2020-03-26,14.53,15.32
2020-03-27,14.53,15.32
2020-03-28,14.53,15.32
2020-03-29,14.53,15.32
2020-03-30,14.43,15.22
2020-03-31,14.33,15.12
2020-04-01,14.33,15.12
2020-04-02,14.18,14.97
2020-04-03,14.18,14.97
2020-04-04,14.18,14.97
2020-04-05,14.18,14.97
2020-04-06,14.38,15.17
2020-04-07,14.38,15.17
2020-04-08,14.38,15.17
2020-04-09,14.38,15.17
2020-04-10,14.38,15.17
2020-04-11,14.38,15.17
2020-04-12,14.38,15.17
2020-04-13,14.38,15.17
2020-04-14,14.28,15.07
2020-04-15,14.08,14.87
2020-04-16,13.88,14.67
2020-04-17,13.98,14.77
2020-04-18,13.98,14.77
2020-04-19,13.98,14.77
2020-04-20,13.98,14.77
2020-04-21,13.83,14.62
2020-04-22,13.53,14.32
2020-04-23,13.53,14.32
2020-04-24,13.73,14.52
2020-04-25,13.73,14.52
2020-04-26,13.73,14.52
2020-04-27,13.58,14.37
2020-04-28,13.48,14.27
2020-04-29,13.48,14.27
2020-04-30,13.48,14.27
2020-05-01,13.48,14.27
2020-05-02,13.48,14.27
2020-05-03,13.48,14.27
2020-05-04,13.48,14.27
2020-05-05,13.48,14.27
2020-05-06,13.73,14.52
2020-05-07,13.63,14.42
2020-05-08,13.73,14.52
2020-05-09,13.73,14.52
2020-05-10,13.73,14.52
2020-05-11,13.73,14.52
2020-05-12,13.73,14.52
2020-05-13,13.73,14.52
2020-05-14,13.73,14.52
2020-05-15,13.73,14.52
2020-05-16,13.73,14.52
2020-05-17,13.73,14.52
2020-05-18,13.88,14.67
2020-05-19,14.13,14.92
2020-05-20,14.13,14.92
2020-05-21,14.13,14.92
2020-05-22,14.13,14.92
2020-05-23,14.13,14.92
2020-05-24,14.13,14.92
2020-05-25,14.13,14.92
2020-05-26,14.13,14.92
2020-05-27,14.13,14.92
2020-05-28,14.03,14.72
2020-05-29,13.93,14.62
2020-05-30,13.93,14.62
2020-05-31,13.93,14.62
2020-06-01,13.93,14.62
2020-06-02,13.93,14.62
2020-06-03,14.18,14.77
2020-06-04,14.18,14.77
2020-06-05,14.18,14.77
2020-06-06,14.18,14.77
2020-06-07,14.18,14.77
2020-06-08,14.28,14.87
2020-06-09,14.28,14.87
2020-06-10,14.28,14.87
2020-06-11,14.28,14.87
2020-06-12,14.18,14.67
2020-06-13,14.18,14.67
2020-06-14,14.18,14.67
2020-06-15,14.28,14.77
2020-06-16,14.38,14.87
2020-06-17,14.48,14.97
2020-06-18,14.48,14.97
2020-06-19,14.48,14.97
2020-06-20,14.48,14.97
2020-06-21,14.48,14.97
2020-06-22,14.68,15.17
2020-06-23,14.68,15.17
2020-06-24,14.68,15.17
2020-06-25,14.53,15.02
2020-06-26,14.53,15.02
2020-06-27,14.53,15.02
2020-06-28,14.53,15.02
2020-06-29,14.43,14.87
2020-06-30,14.43,14.87
2020-07-01,14.58,15.02
2020-07-02,14.58,15.02
2020-07-03,14.58,15.02
2020-07-04,14.58,15.02
2020-07-05,14.58,15.02
2020-07-06,14.68,15.12
2020-07-07,14.78,15.27
2020-07-08,14.78,15.27
2020-07-09,14.78,15.27
2020-07-10,14.68,15.17
2020-07-11,14.68,15.17
2020-07-12,14.68,15.17
2020-07-13,14.68,15.17
2020-07-14,14.68,15.17
2020-07-15,14.68,15.17
2020-07-16,14.58,15.07
2020-07-17,14.58,15.07
2020-07-18,14.58,15.07
2020-07-19,14.58,15.07
2020-07-20,14.58,15.07
2020-07-21,14.58,15.07
2020-07-22,14.68,15.07
2020-07-23,14.58,14.97
2020-07-24,14.48,14.87
2020-07-25,14.48,14.87
2020-07-26,14.48,14.87
2020-07-27,14.48,14.87
2020-07-28,14.38,14.77
2020-07-29,14.38,14.77
2020-07-30,14.38,14.77
2020-07-31,14.28,14.67
2020-08-01,14.28,14.67
2020-08-02,14.28,14.67
2020-08-03,14.28,14.67
2020-08-04,14.43,14.82
2020-08-05,14.43,14.82
2020-08-06,14.53,14.92
2020-08-07,14.43,14.82
2020-08-08,14.43,14.82
2020-08-09,14.43,14.82
2020-08-10,14.43,14.82
2020-08-11,14.43,14.82
2020-08-12,14.43,14.82
2020-08-13,14.43,14.82
