month,diesel_avg,hvo_avg
2020-01,16.7445,17.2813
2020-02,16.1197,16.6597
2020-03,14.8671,15.5345
2020-04,14.0117,14.8017
2020-05,13.8365,14.6135
2020-06,14.35,14.88
2020-07,14.5832,15.0313
2020-08,14.3316,14.6926
2020-09,13.9833,14.3367
2020-10,14.0203,14.5603
2020-11,14.155,14.765
2020-12,14.4945,15.1345
2021-01,15.1635,16.3055
2021-02,15.7843,16.9843
2021-03,16.1281,17.3765
2021-04,16.0167,17.2833
2021-05,16.3071,17.4361
2021-06,16.6867,17.6067
2021-07,16.9845,17.8845
2021-08,17.6571,18.4845
2021-09,18.1167,18.7867
2021-10,19.3233,19.9483
2021-11,19.37,19.9133
2021-12,19.0506,19.6506
2022-01,20.9829,24.7184
2022-02,21.9021,25.8021
2022-03,25.3313,29.2313
2022-04,25.0067,29.1067
2022-05,23.8794,29.7571
2022-06,26.365,32.4233
2022-07,25.3955,31.2265
2022-08,24.589,30.0732
2022-09,24.3633,30.4933
2022-10,27.749,32.7942
2022-11,25.5383,30.7033
2022-12,23.641,28.649
2023-01,24.3229,29.6426
2023-02,23.1046,28.3646
2023-03,22.7471,28.0781
2023-04,22.1483,27.87
2023-05,21.2197,27.0377
2023-06,22.2117,28.4383
2023-07,22.6745,28.6135
2023-08,24.5971,30.67
2023-09,25.8617,32.4283
2023-10,25.0729,31.6023
2023-11,23.8467,30.14
2023-12,22.7648,28.2603
2024-01,18.611,21.79
2024-02,19.3314,22.7572
2024-03,18.9158,21.9158
2024-04,18.9233,21.715
2024-05,18.3094,21.1916
2024-06,18.21,20.8367
2024-07,18.5126,21.1416
2024-08,17.6674,20.2723
2024-09,17.0033,19.4267
2024-10,17.4545,19.8884
2024-11,17.9867,20.67
2024-12,18.0174,21.1239
2025-01,18.611,21.79
2025-02,18.2686,21.2871
2025-03,17.2481,19.6897
2025-04,16.3217,18.3133
2025-05,16.0126,18.0606
2025-06,16.69,18.961
2025-07,17.3029,19.8671
2025-08,16.8013,19.7203
2025-09,16.9117,21.5917
2025-10,16.7852,22.0252
2025-11,17.5783,24.0717
2025-12,16.4916,24.4416
2026-01,16.5271,24.4771
2026-02,16.9096,24.8596
2026-03,22.0835,30.1787
2026-04,23.0733,31.19
2026-05,21.3255,29.7465
2026-06,19.7283,28.43
