month,diesel_avg,hvo_avg
2005-01,0.9905,
2005-02,0.994,
2005-03,1.0576,
2005-04,1.0709,
2005-05,1.0426,
2005-06,1.0958,
2005-07,1.103,
2005-08,1.1161,
2005-09,1.1585,
2005-10,1.1743,
2005-11,1.0909,
2005-12,1.0815,
2006-01,1.1345,
2006-02,1.1215,
2006-03,1.1487,
2006-04,1.1736,
2006-05,1.1883,
2006-06,1.1774,
2006-07,1.1991,
2006-08,1.2025,
2006-09,1.1288,
2006-10,1.1067,
2006-11,1.1071,
2006-12,1.1022,
2007-01,1.0611,
2007-02,1.0849,
2007-03,1.0896,
2007-04,1.1046,
2007-05,1.0935,
2007-06,1.1145,
2007-07,1.1172,
2007-08,1.1068,
2007-09,1.1355,
2007-10,1.1677,
2007-11,1.2506,
2007-12,1.197,
2008-01,1.2437,
2008-02,1.2863,
2008-03,1.3503,
2008-04,1.3694,
2008-05,1.4846,
2008-06,1.5016,
2008-07,1.497,
2008-08,1.3942,
2008-09,1.3835,
2008-10,1.2393,
2008-11,1.1505,
2008-12,1.0286,
2009-01,0.9978,
2009-02,0.9912,
2009-03,0.9512,
2009-04,0.9981,
2009-05,1.0213,
2009-06,1.0558,
2009-07,1.0249,
2009-08,1.1033,
2009-09,1.0719,
2009-10,1.088,
2009-11,1.0937,
2009-12,1.0737,
2010-01,1.1341,
2010-02,1.1476,
2010-03,1.2092,
2010-04,1.2765,
2010-05,1.2659,
2010-06,1.2814,
2010-07,1.2474,
2010-08,1.26,
2010-09,1.2785,
2010-10,1.285,
2010-11,1.2957,
2010-12,1.3685,
2011-01,1.4502,
2011-02,1.5074,
2011-03,1.5429,
2011-04,1.5489,
2011-05,1.515,
2011-06,1.4846,
2011-07,1.4907,
2011-08,1.4762,
2011-09,1.4989,
2011-10,1.5246,
2011-11,1.5493,
2011-12,1.5457,
2012-01,1.6238,
2012-02,1.6368,
2012-03,1.6528,
2012-04,1.6483,
2012-05,1.6004,
2012-06,1.5906,
2012-07,1.672,
2012-08,1.7664,
2012-09,1.7359,
2012-10,1.7172,
2012-11,1.6924,
2012-12,1.6463,
2013-01,1.6717,
2013-02,1.6977,
2013-03,1.6959,
2013-04,1.6565,
2013-05,1.6277,
2013-06,1.6094,
2013-07,1.6493,
2013-08,1.6377,
2013-09,1.6696,
2013-10,1.6144,
2013-11,1.6077,
2013-12,1.5982,
2014-01,1.5932,
2014-02,1.5964,
2014-03,1.5749,
2014-04,1.5596,
2014-05,1.5576,
2014-06,1.56,
2014-07,1.5367,
2014-08,1.5553,
2014-09,1.5371,
2014-10,1.4988,
2014-11,1.4709,
2014-12,1.384,
2015-01,1.3103,
2015-02,1.3648,
2015-03,1.4263,
2015-04,1.4397,
2015-05,1.4564,
2015-06,1.4375,
2015-07,1.4274,
2015-08,1.3447,
2015-09,1.3372,
2015-10,1.3266,
2015-11,1.3117,
2015-12,1.2818,
2016-01,1.2748,
2016-02,1.2537,
2016-03,1.3145,
2016-04,1.3144,
2016-05,1.3685,
2016-06,1.3855,
2016-07,1.3513,
2016-08,1.3361,
2016-09,1.3395,
2016-10,1.3771,
2016-11,1.3445,
2016-12,1.4145,
2017-01,1.4756,
2017-02,1.4783,
2017-03,1.4437,
2017-04,1.4489,
2017-05,1.4028,
2017-06,1.3572,
2017-07,1.3671,
2017-08,1.3963,
2017-09,1.4359,
2017-10,1.4413,
2017-11,1.4486,
2017-12,1.4315,
2018-01,1.4952,
2018-02,1.445,
2018-03,1.4213,
2018-04,1.4572,
2018-05,1.522,
2018-06,1.5192,
2018-07,1.5303,
2018-08,1.5212,
2018-09,1.5423,
2018-10,1.5898,
2018-11,1.5714,
2018-12,1.4908,
2019-01,1.4856,
2019-02,1.503,
2019-03,1.5238,
2019-04,1.5399,
2019-05,1.534,
2019-06,1.5012,
2019-07,1.4922,
2019-08,1.4896,
2019-09,1.5192,
2019-10,1.5068,
2019-11,1.5148,
2019-12,1.5316,
2020-01,1.5724,
2020-02,1.5085,
2020-03,1.3883,
2020-04,1.2725,
2020-05,1.2613,
2020-06,1.3438,
2020-07,1.3912,
2020-08,1.3685,
2020-09,1.3222,
2020-10,1.3302,
2020-11,1.3538,
2020-12,1.3983,
2021-01,1.4861,
2021-02,1.5335,
2021-03,1.5636,
2021-04,1.5532,
2021-05,1.5841,
2021-06,1.6311,
2021-07,1.639,
2021-08,1.7057,
2021-09,1.7592,
2021-10,1.8982,
2021-11,1.8905,
2021-12,1.8314,
2022-01,1.997,
2022-02,2.0623,
2022-03,2.433,
2022-04,2.3924,
2022-05,2.2716,
2022-06,2.4961,
2022-07,2.4012,
2022-08,2.3274,
2022-09,2.2331,
2022-10,2.4977,
2022-11,2.3355,
2022-12,2.1456,
2023-01,2.155,
2023-02,2.0434,
2023-03,2.0066,
2023-04,1.9556,
2023-05,1.8553,
2023-06,1.8835,
2023-07,1.9313,
2023-08,2.0715,
2023-09,2.16,
2023-10,2.1443,
2023-11,2.0562,
2023-12,2.02,
2024-01,1.6274,
2024-02,1.7023,
2024-03,1.6446,
2024-04,1.6193,
2024-05,1.5537,
2024-06,1.5808,
