date,diesel,hvo
2005-01-03,1.0071,
2005-01-10,0.9731,
2005-01-17,0.9764,
2005-01-24,0.9899,
2005-01-31,1.006,
2005-02-07,0.9821,
2005-02-14,0.986,
2005-02-21,0.9835,
2005-02-28,1.0245,
2005-03-07,1.0369,
2005-03-14,1.0634,
2005-03-21,1.0725,
2005-04-04,1.051,
2005-04-11,1.1014,
2005-04-18,1.0657,
2005-04-25,1.0653,
2005-05-02,1.0533,
2005-05-09,1.0553,
2005-05-16,1.0256,
2005-05-23,1.0305,
2005-05-30,1.0483,
2005-06-06,1.0826,
2005-06-13,1.0813,
2005-06-20,1.1184,
2005-06-27,1.1011,
2005-07-04,1.0893,
2005-07-11,1.1209,
2005-07-18,1.1074,
2005-07-25,1.0944,
2005-08-01,1.0998,
2005-08-08,1.1079,
2005-08-15,1.11,
2005-08-22,1.1179,
2005-08-29,1.1449,
2005-09-05,1.1803,
2005-09-12,1.1526,
2005-09-19,1.1361,
2005-09-26,1.1649,
2005-10-03,1.1882,
2005-10-10,1.1942,
2005-10-17,1.1741,
2005-10-24,1.1406,
2005-11-07,1.0953,
2005-11-14,1.0916,
2005-11-21,1.0886,
2005-11-28,1.0879,
2005-12-05,1.0781,
2005-12-12,1.0826,
2005-12-19,1.0838,
2006-01-09,1.1212,
2006-01-16,1.1308,
2006-01-23,1.1393,
2006-01-30,1.1467,
2006-02-06,1.1294,
2006-02-13,1.118,
2006-02-20,1.115,
2006-02-27,1.1235,
2006-03-06,1.1444,
2006-03-13,1.142,
2006-03-20,1.1635,
2006-03-27,1.1448,
2006-04-03,1.1529,
2006-04-10,1.1594,
2006-04-24,1.2085,
2006-05-01,1.2144,
2006-05-08,1.1873,
2006-05-15,1.1889,
2006-05-22,1.172,
2006-05-29,1.1791,
2006-06-05,1.1927,
2006-06-12,1.1903,
2006-06-19,1.1594,
2006-06-26,1.1673,
2006-07-03,1.2,
2006-07-10,1.2059,
2006-07-17,1.2083,
2006-07-24,1.189,
2006-07-31,1.1925,
2006-08-07,1.215,
2006-08-14,1.213,
2006-08-21,1.1879,
2006-08-28,1.194,
2006-09-04,1.1634,
2006-09-11,1.148,
2006-09-18,1.1139,
2006-09-25,1.0901,
2006-10-02,1.1027,
2006-10-09,1.0981,
2006-10-16,1.1025,
2006-10-23,1.1125,
2006-10-30,1.1176,
2006-11-06,1.0977,
2006-11-13,1.1151,
2006-11-20,1.1055,
2006-11-27,1.1103,
2006-12-04,1.1115,
2006-12-11,1.0973,
2006-12-18,1.0977,
2007-01-08,1.0639,
2007-01-15,1.0613,
2007-01-22,1.0455,
2007-01-29,1.0736,
2007-02-05,1.0903,
2007-02-12,1.1027,
2007-02-19,1.0647,
2007-02-26,1.0817,
2007-03-05,1.0974,
2007-03-12,1.0911,
2007-03-19,1.0805,
2007-03-26,1.0893,
2007-04-02,1.1252,
2007-04-16,1.1047,
2007-04-23,1.0916,
2007-04-30,1.097,
2007-05-07,1.0954,
2007-05-14,1.0876,
2007-05-21,1.0891,
2007-05-28,1.1018,
2007-06-04,1.0875,
2007-06-11,1.0967,
2007-06-18,1.1066,
2007-06-25,1.1671,
2007-07-02,1.116,
2007-07-09,1.117,
2007-07-16,1.1191,
2007-07-23,1.1094,
2007-07-30,1.1246,
2007-08-06,1.1216,
2007-08-13,1.094,
2007-08-20,1.1137,
2007-08-27,1.0979,
2007-09-03,1.1074,
2007-09-10,1.1299,
2007-09-17,1.1406,
2007-09-24,1.1643,
2007-10-01,1.1573,
2007-10-08,1.1498,
2007-10-15,1.1592,
2007-10-22,1.1818,
2007-10-29,1.1902,
2007-11-05,1.2357,
2007-11-12,1.2487,
2007-11-19,1.2432,
2007-11-26,1.2746,
2007-12-03,1.2199,
2007-12-10,1.1722,
2007-12-17,1.1988,
2008-01-07,1.2753,
2008-01-14,1.2385,
2008-01-21,1.2285,
2008-01-28,1.2327,
2008-02-04,1.2529,
2008-02-11,1.2622,
2008-02-18,1.3107,
2008-02-25,1.3193,
2008-03-03,1.3123,
2008-03-10,1.3725,
2008-03-17,1.3818,
2008-03-31,1.3345,
2008-04-07,1.3172,
2008-04-14,1.3651,
2008-04-21,1.3688,
2008-04-28,1.4265,
2008-05-05,1.4056,
2008-05-12,1.4794,
2008-05-19,1.5117,
2008-05-26,1.5415,
2008-06-02,1.5212,
2008-06-09,1.4645,
2008-06-16,1.5237,
2008-06-23,1.5054,
2008-06-30,1.4931,
2008-07-07,1.5457,
2008-07-14,1.5252,
2008-07-21,1.4745,
2008-07-28,1.4428,
2008-08-04,1.4213,
2008-08-11,1.3876,
2008-08-18,1.3843,
2008-08-25,1.3838,
2008-09-01,1.4206,
2008-09-08,1.3997,
2008-09-15,1.3966,
2008-09-22,1.336,
2008-09-29,1.3648,
2008-10-06,1.3352,
2008-10-13,1.2556,
