date,diesel,hvo
2008-09-01,13.89,
2008-09-02,13.89,
2008-09-03,13.69,
2008-09-04,13.69,
2008-09-05,13.69,
2008-09-06,13.69,
2008-09-07,13.69,
2008-09-08,13.69,
2008-09-09,13.69,
2008-09-10,13.69,
2008-09-11,13.59,
2008-09-12,13.69,
2008-09-13,13.69,
2008-09-14,13.69,
2008-09-15,13.79,
2008-09-16,13.59,
2008-09-17,13.39,
2008-09-18,13.29,
2008-09-19,13.19,
2008-09-20,13.19,
2008-09-21,13.19,
2008-09-22,13.19,
2008-09-23,13.49,
2008-09-24,13.69,
2008-09-25,13.79,
2008-09-26,13.69,
2008-09-27,13.69,
2008-09-28,13.69,
2008-09-29,13.69,
2008-09-30,13.59,
2008-10-01,13.59,
2008-10-02,13.59,
2008-10-03,13.59,
2008-10-04,13.59,
2008-10-05,13.59,
2008-10-06,13.49,
2008-10-07,13.39,
2008-10-08,13.19,
2008-10-09,12.89,
2008-10-10,12.89,
2008-10-11,12.89,
2008-10-12,12.89,
2008-10-13,12.59,
2008-10-14,12.59,
2008-10-15,12.59,
2008-10-16,12.39,
2008-10-17,12.29,
2008-10-18,12.29,
2008-10-19,12.29,
2008-10-20,12.29,
2008-10-21,12.29,
2008-10-22,12.39,
2008-10-23,12.49,
2008-10-24,12.49,
2008-10-25,12.49,
2008-10-26,12.49,
2008-10-27,12.29,
2008-10-28,12.39,
2008-10-29,12.39,
2008-10-30,12.49,
2008-10-31,12.19,
2008-11-01,12.19,
2008-11-02,12.19,
2008-11-03,12.29,
2008-11-04,12.29,
2008-11-05,12.49,
2008-11-06,12.39,
2008-11-07,12.19,
2008-11-08,12.19,
2008-11-09,12.19,
2008-11-10,12.19,
2008-11-11,12.19,
2008-11-12,11.99,
2008-11-13,11.99,
2008-11-14,11.99,
2008-11-15,11.99,
2008-11-16,11.99,
2008-11-17,11.89,
2008-11-18,11.89,
2008-11-19,11.79,
2008-11-20,11.69,
2008-11-21,11.69,
2008-11-22,11.69,
2008-11-23,11.69,
2008-11-24,11.69,
2008-11-25,11.89,
2008-11-26,11.69,
2008-11-27,11.69,
2008-11-28,11.69,
2008-11-29,11.69,
2008-11-30,11.69,
2008-12-01,11.59,
2008-12-02,11.49,
2008-12-03,11.49,
2008-12-04,11.39,
2008-12-05,11.39,
2008-12-06,11.39,
2008-12-07,11.39,
2008-12-08,11.19,
2008-12-09,11.19,
2008-12-10,11.09,
2008-12-11,10.99,
2008-12-12,11.09,
2008-12-13,11.09,
2008-12-14,11.09,
2008-12-15,11.09,
2008-12-16,11.19,
2008-12-17,11.09,
2008-12-18,11.09,
2008-12-19,10.89,
2008-12-20,10.89,
2008-12-21,10.89,
2008-12-22,10.89,
2008-12-23,10.79,
2008-12-24,10.79,
2008-12-25,10.79,
2008-12-26,10.79,
2008-12-27,10.79,
2008-12-28,10.79,
2008-12-29,10.59,
2008-12-30,10.59,
2008-12-31,10.59,
2009-01-01,10.59,
2009-01-02,10.89,
2009-01-03,10.89,
2009-01-04,10.89,
2009-01-05,10.89,
2009-01-06,10.89,
2009-01-07,11.19,
2009-01-08,11.49,
2009-01-09,11.49,
2009-01-10,11.49,
2009-01-11,11.49,
2009-01-12,11.29,
2009-01-13,11.29,
2009-01-14,11.39,
2009-01-15,11.29,
2009-01-16,11.39,
2009-01-17,11.39,
2009-01-18,11.39,
2009-01-19,11.29,
2009-01-20,11.09,
2009-01-21,11.29,
2009-01-22,11.19,
2009-01-23,10.99,
2009-01-24,10.99,
2009-01-25,10.99,
