month,diesel_avg,hvo_avg
2008-09,13.6033,
2008-10,12.7513,
2008-11,11.97,
2008-12,11.0448,
2009-01,11.1803,
2009-02,11.1579,
2009-03,11.2223,
2009-04,11.3533,
2009-05,11.3352,
2009-06,12.0433,
2009-07,11.6932,
2009-08,11.8481,
2009-09,11.507,
2009-10,11.7819,
2009-11,11.8907,
2009-12,11.8974,
2010-01,12.119,
2010-02,12.1004,
2010-03,12.3948,
2010-04,12.8267,
2010-05,12.8158,
2010-06,12.8733,
2010-07,12.4971,
2010-08,12.4745,
2010-09,12.4033,
2010-10,12.4745,
2010-11,12.65,
2010-12,13.0761,
2011-01,13.49,
2011-02,13.7757,
2011-03,14.3223,
2011-04,14.52,
2011-05,14.1287,
2011-06,14.1367,
2011-07,14.2577,
2011-08,14.0303,
2011-09,14.2933,
2011-10,14.5061,
2011-11,14.7733,
2011-12,14.5632,
2012-01,14.94,
2012-02,15.0434,
2012-03,15.3319,
2012-04,15.1837,
2012-05,14.9997,
2012-06,14.4567,
2012-07,14.7432,
2012-08,14.9852,
2012-09,15.1483,
2012-10,15.1561,
2012-11,14.9203,
2012-12,14.6052,
2013-01,14.8642,
2013-02,14.9671,
2013-03,14.5723,
2013-04,14.3733,
2013-05,14.3039,
2013-06,14.365,
2013-07,14.7219,
2013-08,14.7029,
2013-09,14.835,
2013-10,14.5642,
2013-11,14.5483,
2013-12,14.769,
2014-01,14.4997,
2014-02,14.5175,
2014-03,14.3623,
2014-04,14.532,
2014-05,14.4603,
2014-06,14.536,
2014-07,14.561,
2014-08,14.5384,
2014-09,14.47,
2014-10,14.1223,
2014-11,13.92,
2014-12,13.0158,
2015-01,12.7739,
2015-02,13.5236,
2015-03,13.5694,
2015-04,13.6967,
2015-05,13.8465,
2015-06,13.6083,
2015-07,13.3352,
2015-08,12.8029,
2015-09,12.7567,
2015-10,12.611,12.6046
2015-11,12.635,12.9207
2015-12,11.8448,12.1158
2016-01,11.9023,12.1581
2016-02,11.9545,12.1452
2016-03,12.399,12.4835
2016-04,12.3783,12.49
2016-05,12.9265,12.9465
2016-06,13.16,13.3347
2016-07,12.9539,13.2113
2016-08,12.9171,13.0106
2016-09,13.045,13.29
2016-10,13.651,13.8413
2016-11,13.485,13.705
2016-12,14.0961,14.2929
2017-01,14.2065,14.4548
2017-02,14.2321,14.4321
2017-03,13.9919,14.1919
2017-04,14.1183,14.3183
2017-05,13.8177,14.0177
2017-06,13.435,13.6283
2017-07,13.5323,13.7323
2017-08,13.6323,13.8323
2017-09,13.95,14.1567
2017-10,14.0758,14.2758
2017-11,14.5117,14.7117
2017-12,14.5339,14.7339
2018-01,14.8923,15.0923
2018-02,14.5118,14.7118
2018-03,14.7487,14.9487
2018-04,15.33,15.53
2018-05,15.9858,16.1794
2018-06,15.82,16.02
2018-07,16.0213,16.7503
2018-08,16.1165,17.0165
2018-09,16.3467,17.2467
2018-10,16.8277,17.7277
2018-11,16.3152,17.2152
2018-12,15.3406,16.2406
2019-01,15.4674,16.1374
2019-02,16.0438,16.7715
2019-03,16.2465,17.0665
2019-04,16.4367,17.2567
2019-05,16.74,17.6794
2019-06,15.9983,16.935
2019-07,16.0784,17.0148
2019-08,16.1655,17.1729
2019-09,16.5217,17.6383
2019-10,16.5123,17.5487
2019-11,16.3483,17.3783
2019-12,16.4155,17.4455
2020-01,16.7445,20.0203
2020-02,16.1403,19.6007
2020-03,14.9042,19.552
2020-04,14.0472,
2020-05,13.8752,
2020-06,14.3933,
2020-07,14.6155,
2020-08,14.3703,
2020-09,14.0167,
2020-10,14.0574,
2020-11,14.1917,14.7983
2020-12,14.53,15.17
2021-01,15.1958,16.3377
2021-02,15.82,17.02
2021-03,16.1635,17.4119
2021-04,16.045,17.3083
2021-05,16.3458,17.4748
2021-06,16.7217,17.6417
2021-07,17.02,17.92
2021-08,17.6942,18.5216
2021-09,18.15,18.82
2021-10,19.3603,19.9813
2021-11,19.4033,19.9467
2021-12,19.0845,19.6845
2022-01,21.0135,24.6723
2022-02,21.9379,24.0961
2022-03,25.3265,27.2842
2022-04,25.0067,27.16
2022-05,23.8794,26.2365
2022-06,26.51,28.9217
2022-07,25.3955,27.7865
2022-08,24.5923,26.6332
2022-09,24.3583,27.0533
2022-10,27.7345,30.5965
2022-11,25.6883,28.4733
2022-12,23.7942,26.4223
2023-01,24.3229,27.3997
2023-02,23.1046,26.0846
2023-03,22.7471,25.7981
2023-04,22.1483,25.4217
2023-05,21.2197,24.5771
2023-06,22.1967,25.5517
2023-07,22.6745,25.8545
2023-08,24.5971,27.7771
2023-09,25.8617,29.0417
